Incident ID,Year,Month,Country,Region,City,UN,INGO,ICRC,NRCS and IFRC,NNGO,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Motive
35,1997,,,,,0,0,2,0,0,0,1,0,0,1,0,1,0,1,1,1,0,2,0,0,2,Unknown,Unknown,Unknown,Unknown
1,1997,1,Cambodia,Banteay Meanchey,,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,Unknown
2,1997,1,Rwanda,Northern,Ruhengeri,0,4,0,0,0,0,0,0,0,0,3,1,0,4,3,1,0,4,3,1,0,Shooting,Raid,Office/compound,Unknown
3,1997,2,Tajikistan,,,4,0,2,0,0,0,0,0,4,4,0,0,2,2,0,0,6,6,0,0,6,Kidnapping,Unknown,Unknown,
4,1997,2,Somalia,Lower Juba,Kismayo,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,Political
5,1997,2,Rwanda,Kigali,Kigali,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Individual attack,Unknown,Political
7,1997,5,DR Congo,,,0,0,0,10,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,10,Unknown,Combat/Crossfire,Unknown,Incidental
6,1997,5,Sierra Leone,,,3,0,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,1,0,2,Unknown,Ambush,Road,Unknown
11,1997,6,Somalia,Gedo,Tulo-Burago,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Kidnap-killing,Ambush,Road,Incidental
12,1997,6,Rwanda,Northern,Ruhengeri,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Combat/Crossfire,Unknown,Incidental
8,1997,6,Rwanda,Northern,Ruhengeri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Individual attack,Home,Political
9,1997,6,Rwanda,Northern,Ruhengeri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Detention,Unknown,Political
10,1997,6,Rwanda,Northern,"Ruhengeri, Kigombe",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Raid,Home,Political
14,1997,6,Somalia,Lower Juba,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,Political
13,1997,6,Somalia,Bay,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,Individual attack,Project site,Incidental
16,1997,7,Chechnya,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Individual attack,Home,Unknown
17,1997,7,Chechnya,,,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,1,1,0,Kidnapping,Unknown,Unknown,Political
18,1997,7,Chechnya,Ingushetia,Nazran,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,Political
19,1997,7,Somalia,Bakool,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,Economic
15,1997,7,Bangladesh,Narayanganj,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Individual attack,Unknown,Unknown
20,1997,8,Somalia,Lower Juba,,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,2,0,Unknown,Individual attack,Unknown,Incidental
21,1997,8,Chechnya,Dagestan,,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,4,0,0,Kidnapping,Unknown,Unknown,Political
23,1997,9,Somalia,Banadir,Mogadishu,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,Economic
24,1997,9,South Sudan,Central Equatoria,Juba,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Individual attack,Unknown,Unknown
22,1997,9,Ethiopia,Jarar,Ogaden,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,1,Shooting,Individual attack,Unknown,Economic
25,1997,10,Angola,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,Unknown
26,1997,10,Rwanda,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,Political
28,1997,10,Angola,,,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,2,0,0,Unknown,Ambush,Unknown,Unknown
27,1997,10,Afghanistan,Balkh,Mazar-e Sharif (200km W of city on Anchoy-Shibirgan road),0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,Road,Incidental
29,1997,10,Chechnya,Grozny,Grozny,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,0,0,Kidnapping,Unknown,Unknown,Political
31,1997,11,Congo,,,0,0,3,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,Unknown,Ambush,Unknown,Unknown
30,1997,11,Somalia,,,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,4,Kidnapping,Unknown,Unknown,Economic
32,1997,11,Somalia,Middle Shabelle,Deganlei,0,3,0,0,0,0,0,0,1,1,0,0,2,2,0,0,3,3,2,1,0,Kidnapping,Raid,Office/compound,Political
34,1997,12,Tajikistan,,,0,2,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,2,1,1,0,Kidnap-killing,Individual attack,Unknown,Unknown
33,1997,12,Chechnya,,,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,5,0,0,Kidnapping,Unknown,Unknown,Unknown
